Word,Frequency
Rachel,192
Ross,186
Monica,181
Chandler,175
Joey,169
Phoebe,145
gang,33
job,21
parties,20
wedding,19
decide,18
apartment,18
Emily,18
Mike,18
love,17
baby,17
feel,16
move,15
play,15
guy,15
help,14
like,14
Richard,13
dinner,13
relationship,13
friend,13
visit,13
girl,12
struggle,12
leave,12
plan,12
accidentally,12
realize,11
buy,11
proposal,11
convince,11
girlfriend,11
kiss,10
Day,10
time,10
married,10
parents,10
live,10
woman,10
night,10
audition,10
Janice,10
meet,10
call,10
Charlie,9
sleep,9
boss,9
choose,9
set,9
work,9
turn,9
birthday,8
surprise,8
massage,8
jealous,8
throw,8
discover,8
bad,8
secret,8
fight,8
argue,8
interview,8
Thanksgiving,8
learn,8
dad,8
advice,7
game,7
know,7
trouble,7
Ben,7
Carol,7
book,7
money,7
Perk,7
Central,7
class,7
reveal,7
break,7
sister,7
bump,7
student,7
good,7
invitations,7
fire,7
boyfriend,6
mother,6
die,6
write,6
house,6
continue,6
shock,6
father,6
arrives,6
key,6
offer,6
Kathy,6
role,6
Ursula,6
sing,6
pregnant,6
restaurant,6
develops,6
movie,6
spend,6
prepare,5
celebrate,5
dress,5
adopt,5
annoyance,5
practical,5
Year's,5
attempt,5
attracted,5
joke,5
constantly,5
reluctant,5
TV,5
irritable,5
couple,5
engaged,5
refuse,5
crush,5
character,5
hit,5
impress,5
London,5
encounter,5
man,5
head,5
perfect,5
hoped,5
rest,5
Susan,5
grandmother,5
school,5
forget,5
cater,5
pretend,5
win,5
Emma,5
accept,5
big,5
nervous,4
middle,4
build,4
fall,4
avoid,4
Award,4
hang,4
unaware,4
awkward,4
babysit,4
cheating,4
sex,4
museum,4
sell,4
event,4
eye,4
Barry,4
video,4
Cat,4
favorite,4
catches,4
compete,4
trip,4
fear,4
office,4
David,4
health,4
chance,4
deal,4
hear,4
clean,4
received,4
mind,4
college,4
high,4
introduce,4
romantic,4
life,4
angry,4
green,4
Elizabeth,4
lead,4
Frank,4
real,4
ready,4
teach,4
Pete,4
freaks,4
Mona,4
order,4
embarrass,4
free,4
attend,4
York,4
remember,4
Christmas,4
agree,4
phone,3
Valentine's,3
Vegas,3
scare,3
machine,3
seek,3
admit,3
maid,3
worst,3
affair,3
shop,3
airport,3
asleep,3
bachelorette,3
bed,3
best,3
better,3
bill,3
birth,3
born,3
box,3
bring,3
raise,3
business,3
chain,3
Chaos,3
clash,3
client,3
close,3
co-star,3
co-worker,3
current,3
dance,3
desperate,3
divorced,3
Don,3
dream,3
drive,3
drunken,3
ensues,3
extremely,3
family,3
finally,3
forced,3
jeopardize,3
fun,3
Gary,3
gay,3
gift,3
happy,3
hate,3
hide,3
hire,3
hook,3
hospital,3
idea,3
Janine,3
labor,3
join,3
Joshua,3
Julie,3
nanny,3
lie,3
problem,3
skill,3
light,3
Marcel,3
smoking,3
promised,3
sneak,3
soap,3
Mark,3
son,3
marriage,3
list,3
quit,3
Ralph,3
read,3
laugh,3
steal,3
obsessed,3
store,3
stripper,3
stuck,3
message,3
met,3
swing,3
table,3
Tag,3
talk,3
tape,3
reminisce,3
Long,3
Lauren,3
terrible,3
test,3
resume,3
lose,3
threatens,3
mistake,3
paranoid,3
triplets,3
Tulsa,3
room,3
lover,3
roommate,3
mom,3
pay,3
personal,3
bachelor,2
speech,2
Las,2
addicted,2
sperm,2
pregnancy,2
manages,2
inside,2
spirit,2
race,2
future,2
insemination,2
medical,2
friendship,2
late,2
insecure,2
state,2
stock,2
insane,2
flirting,2
stoned,2
reassures,2
independent,2
stressed,2
fertility,2
locked,2
style,2
open,2
suffers,2
fancy,2
included,2
front,2
fake,2
failed,2
fact,2
opera,2
inadvertently,2
experience,2
expensive,2
excited,2
exchange,2
support,2
Eve,2
Erica,2
enter,2
neighbor,2
enjoy,2
supposed,2
surrogate,2
opportunity,2
switch,2
killed,2
organizes,2
Eddie,2
Eager,2
implantation,2
Javu,2
original,2
ice,2
Drake,2
donating,2
professor,2
doctor,2
hour,2
discuss,2
temp,2
dirty,2
ring,2
diner,2
thing,2
return,2
determined,2
dessert,2
host,2
depressed,2
demands,2
deliver,2
Mindy,2
tickets,2
dead,2
reunited,2
Tim,2
Danny,2
dancer,2
jump,2
Pacman,2
slept,2
touch,2
critic,2
cry,2
cover,2
cousin,2
review,2
cookie,2
cooking,2
town,2
lack,2
painting,2
confides,2
cons,2
paleontology,2
company,2
commercial,2
panics,2
colleague,2
shower,2
honor,2
honeymoon,2
clinic,2
Smelly,2
clear,2
Treeger,2
misunderstanding,2
Jack,2
roof,2
unable,2
childhood,2
child,2
chick,2
chef,2
uncomfortable,2
partner,2
unexpected,2
higher,2
Paul,2
people,2
promotion,2
certificate,2
kitchen,2
center,2
upset,2
caught,2
leg,2
monkey,2
letter,2
picture,2
career,2
card,2
car,2
candy,2
library,2
waiting,2
Broadway,2
butt,2
Island,2
search,2
Soapy,2
pros,2
breast,2
watch,2
wearing,2
nice,2
mugged,2
song,2
ponder,2
Bonnie,2
bond,2
blind,2
whilst,2
Nancy,2
side,2
separate,2
bid,2
kid,2
habit,2
pool,2
belongings,2
befriend,2
punch,2
beach,2
women,2
bar,2
music,2
guilt-ridden,2
male,2
worries,2
awry,2
worse,2
porn,2
share,2
porsche,2
pose,2
position,2
wrong,2
assistant,2
guest,2
possessed,2
armchair,2
argument,2
yell,2
approaches,2
naked,2
answering,2
annulment,2
shoot,2
anniversary,2
shopper,2
altar,2
gross,2
purpose,2
ago,2
agent,2
afraid,2
great,2
master,2
grade,2
goodbye,2
full,2
Ultimate,1
greedy,1
ultrasound,1
uncanny,1
grow,1
uncovers,1
guide,1
undecided,1
uneasy,1
gym,1
Gynecologist,1
unfold,1
hair,1
haircut,1
half,1
half-brother,1
Halloween,1
Hammock,1
handcuffed,1
handle,1
unfortunately,1
Hanukkah,1
university,1
hard-to-get,1
harmless,1
hastily,1
unnerved,1
havoc,1
unstable,1
unsuccessfully,1
unusually,1
heart,1
Heckles,1
heirloom,1
unwashed,1
hernia,1
hidden,1
unwilling,1
hideous,1
upbeat,1
upstage,1
hinder,1
upstate,1
uterus,1
hockey,1
hold,1
homemade,1
Val,1
venue,1
Vermont,1
hooker,1
vestibule,1
videotaped,1
view,1
hostess,1
hot,1
hotels,1
voice,1
volunteers,1
huge,1
Hugsy,1
humiliated,1
hurt,1
husband,1
hypnosis,1
vows,1
waiter,1
identities,1
ignorance,1
immediately,1
wardrobe,1
warn,1
Warren,1
inappropriate,1
washroom,1
income,1
website,1
individually,1
infatuated,1
infection,1
injured,1
wedge,1
weeks,1
weekend,1
weird,1
insistently,1
insomnia,1
inspector,1
inspires,1
instant,1
instructions,1
insurance,1
intend,1
interpreter,1
interrupted,1
Westchester,1
willpower,1
winner,1
witnesses,1
wonders,1
issues,1
wooden,1
jackpot,1
jam,1
work-related,1
worker,1
worth,1
wreaks,1
jellyfish,1
wrecked,1
Jill,1
Jim,1
Joanna,1
writer,1
written,1
